"","I listen to tapes or CDs","I look around in the shops","I read comics, mags or books","I go to sport matches","I take part in sports","I hang round in the streets","I play computer games","I spend time on my hobby (eg art, an instrument)","I go to something like B.B., Guides or Scouts","I go to cinema","I go to pop concerts, gigs","I go to church, mosque or temple","I look after a pet animal","I go to dance clubs or raves","I do nothing much (am bored)"
"s031",1,2,2,4,4,2,1,4,4,3,4,4,1,4,3
"s032",1,2,2,3,2,1,2,1,4,4,4,4,1,4,4
"s033",1,2,2,4,2,1,4,4,4,3,4,4,1,4,4
"s034",1,1,1,3,1,1,1,4,4,2,4,4,4,4,4
"s035",1,2,2,3,1,1,4,1,1,4,4,2,4,4,4
"s036",4,2,2,4,2,1,4,2,4,4,4,4,1,4,2
"s037",1,2,2,3,1,4,2,1,1,3,4,4,1,4,4
"s038",1,3,2,4,1,4,1,4,4,3,4,4,1,4,4
"s039",1,2,1,4,4,1,1,4,4,3,4,4,1,3,2
"s040",1,2,2,3,1,2,2,4,4,3,4,4,4,4,4
"s041",1,2,2,3,3,1,4,4,4,3,3,4,4,3,4
"s042",2,1,4,2,1,1,2,4,4,2,4,4,NA,4,1
"s043",1,2,3,4,2,1,4,4,4,3,4,4,1,4,2
"s044",1,2,2,3,1,1,2,2,1,3,4,2,1,3,4
"s045",1,2,1,3,2,1,4,3,4,4,4,4,4,2,4
"s046",1,2,3,4,4,1,3,1,4,3,4,4,1,2,1
"s047",4,1,4,4,2,1,4,2,4,4,4,2,4,4,4
"s048",2,2,2,2,1,1,1,1,4,2,4,4,3,4,3
"s049",1,2,4,3,1,1,4,4,4,3,4,4,4,4,1
"s050",1,1,2,3,1,3,1,1,4,3,4,4,1,4,4
"s051",4,4,2,4,1,1,2,4,1,3,4,4,4,4,4
"s052",1,3,2,4,1,1,4,2,4,4,4,4,4,4,2
"s053",1,2,1,4,2,4,1,1,4,3,4,4,1,4,4
"s054",1,2,1,3,1,1,1,4,4,3,4,4,1,3,4
"s055",1,2,2,4,3,4,1,1,4,3,3,4,1,3,4
"s056",1,2,1,4,2,2,1,2,2,3,4,4,1,4,4
"s057",1,2,2,2,2,2,1,4,4,3,3,4,4,4,1
"s058",1,2,3,3,2,1,1,4,4,3,4,4,1,4,2
"s059",1,4,2,4,3,4,4,4,4,3,4,4,1,4,4
"s060",1,2,4,2,1,4,1,2,4,3,3,4,1,3,4
"s061",1,1,1,3,2,4,1,1,1,2,4,4,1,4,4
"s062",1,2,4,2,2,1,4,4,4,4,4,4,1,4,4
"s063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s064",4,3,1,4,4,4,4,4,4,4,4,4,1,NA,4
"s065",1,2,1,4,4,1,4,4,4,4,4,4,4,4,4
"s066",1,2,1,3,2,4,1,3,4,2,3,4,1,4,4
"s067",1,3,4,1,1,3,3,1,4,3,4,4,4,3,4
"s068",2,2,1,4,2,4,1,1,2,4,4,4,1,4,4
"s069",1,2,4,2,1,1,1,4,4,3,2,4,1,4,4
"s070",1,3,1,4,4,3,4,2,4,4,4,4,2,4,1
"s071",1,2,2,2,1,1,2,4,4,3,4,4,4,3,4
"s072",1,2,1,4,1,1,4,2,4,3,4,4,4,3,4
"s073",1,2,1,4,3,1,3,2,4,NA,3,4,1,4,4
"s074",1,2,2,3,4,1,2,1,4,3,3,4,4,3,4
"s075",1,2,4,2,1,1,2,3,2,3,4,4,1,4,4
"s076",1,3,3,2,1,3,1,4,4,3,4,4,4,4,4
"s077",1,2,1,2,1,1,2,2,4,3,NA,4,4,4,4
"s078",1,2,2,3,2,1,3,2,2,3,4,3,1,4,4
"s079",1,3,2,2,3,1,2,4,2,3,4,4,4,4,4
"s080",1,2,1,4,1,1,1,2,2,2,4,4,1,3,4
"s081",1,2,2,2,1,2,3,4,4,3,4,4,1,3,4
"s082",1,2,2,2,1,1,4,4,4,2,3,4,1,3,1
"s083",1,2,1,4,1,4,2,2,1,3,4,2,4,4,4
"s084",4,2,4,2,3,4,1,1,4,2,3,1,2,3,4
"s085",1,3,1,4,1,4,1,2,1,4,3,4,1,4,4
"s086",1,2,1,2,1,1,4,3,4,3,4,4,4,4,4
"s087",1,2,1,3,1,1,4,4,4,3,3,4,1,4,4
"s088",2,2,4,3,1,2,2,4,4,2,4,4,1,3,4
"s089",1,1,1,2,3,1,1,2,2,2,3,4,1,3,4
"s090",1,4,1,2,1,4,1,2,4,3,4,4,4,4,1
"s091",1,2,2,4,1,3,2,1,4,2,4,4,4,4,4
"s092",4,2,4,3,3,4,2,1,1,3,4,4,1,4,4
"s093",1,2,1,3,1,1,4,1,4,3,3,4,1,2,4
"s094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s095",1,2,1,4,2,4,3,1,2,3,4,2,4,4,4
"s096",1,4,1,4,2,4,1,2,1,3,4,4,2,2,1
"s097",1,2,1,4,4,2,3,4,4,3,4,4,1,4,2
"s098",1,2,1,2,2,1,4,1,4,3,4,4,4,2,4
"s099",1,2,3,2,3,1,4,3,4,3,4,4,1,3,4
"s100",1,3,1,4,2,3,1,2,4,4,4,4,2,4,2
"s101",1,2,1,2,1,1,1,4,1,3,4,4,4,4,3
"s102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s105",1,2,3,4,2,4,4,3,4,3,4,4,1,4,2
"s106",1,3,3,4,1,2,4,3,4,3,4,4,4,4,2
"s107",1,2,1,4,1,1,4,2,4,3,4,4,4,4,4
"s108",1,2,3,3,1,2,2,4,2,3,4,2,4,4,3
"s109",1,2,4,2,1,3,1,4,4,2,4,4,1,3,4
"s110",2,4,3,1,1,4,1,4,2,3,4,4,1,4,4
"s111",1,4,2,2,1,1,1,4,4,1,4,4,4,3,4
"s112",1,2,1,4,1,2,1,4,2,3,4,4,4,4,4
"s113",1,2,2,2,2,4,4,3,4,3,4,4,4,4,4
"s114",1,2,3,4,2,4,4,4,4,3,3,2,1,3,4
"s115",1,1,1,3,1,1,4,3,2,3,3,4,1,4,4
"s116",1,2,1,4,1,4,3,3,2,4,4,2,1,4,2
"s117",2,2,2,2,1,4,2,4,4,3,3,4,2,3,4
"s118",1,2,1,4,2,1,2,4,4,3,4,4,1,4,2
"s119",1,2,1,4,1,4,2,1,2,3,4,2,1,4,4
"s120",1,2,1,3,1,1,4,3,4,3,4,4,1,4,4
"s121",1,2,1,3,1,1,4,2,4,3,4,2,1,4,4
"s122",1,4,4,3,1,1,4,2,1,4,4,4,1,4,4
"s123",1,2,1,4,2,1,4,2,2,3,4,4,1,4,3
"s124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s125",1,2,3,4,3,1,2,4,4,2,3,4,4,3,4
"s126",1,2,1,4,1,1,4,4,4,4,4,4,1,3,4
"s127",2,2,1,4,1,4,2,1,4,3,4,4,1,4,4
"s128",1,4,1,2,4,1,4,4,4,2,1,4,4,1,4
"s129",1,4,4,1,1,4,2,4,4,3,4,4,4,4,4
"s130",1,2,1,3,1,1,1,1,4,3,4,4,4,4,4
"s131",1,2,2,2,3,1,4,3,4,3,4,4,4,3,4
"s132",1,2,1,4,4,1,2,4,2,3,4,4,4,4,4
"s133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s134",1,2,1,2,1,3,2,3,2,3,4,2,4,4,4
"s135",1,2,2,4,4,3,4,4,4,3,4,4,4,4,4
"s136",1,3,3,2,1,3,1,1,2,3,4,4,1,4,4
"s137",1,3,2,3,2,4,2,2,4,3,4,4,1,4,4
"s138",4,3,1,2,2,4,2,2,2,3,4,3,4,4,4
"s139",1,2,2,4,3,4,4,1,4,3,4,2,1,4,4
"s140",1,2,4,2,1,4,4,1,4,3,4,4,3,4,4
"s141",NA,1,1,4,1,1,1,2,4,4,4,4,1,4,4
"s142",1,2,2,2,1,1,1,4,4,3,4,4,4,4,4
"s143",2,2,1,3,2,1,4,2,2,4,4,4,4,4,4
"s144",1,1,4,2,1,1,4,4,2,1,3,4,1,3,4
"s145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s146",1,4,4,2,2,1,2,2,4,4,4,4,4,2,4
"s147",1,2,2,4,1,4,3,1,2,3,4,2,1,4,4
"s148",1,4,3,1,1,1,4,3,4,2,4,4,2,3,4
"s149",1,2,3,3,1,2,2,4,2,3,4,3,4,4,4
"s150",2,2,3,3,1,1,2,4,4,3,4,4,4,4,3
"s151",1,1,4,2,1,1,1,4,4,3,4,4,4,3,4
"s152",1,2,1,4,1,2,3,4,4,3,4,4,4,3,4
"s153",1,1,4,4,1,1,2,4,4,2,4,4,4,2,4
"s154",1,2,2,4,2,1,3,2,4,2,3,4,4,2,4
"s155",1,1,NA,4,4,1,4,3,4,3,3,4,1,2,4
"s156",1,1,4,2,1,1,1,2,4,2,2,4,1,1,4
"s157",1,2,4,4,4,1,4,4,4,3,3,4,2,2,4
"s158",1,2,3,3,2,1,2,2,4,2,4,4,4,4,4
"s159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
