"","rock","chart","reggae","dance","heavy","techno","folk","rave","indie","jazz","classical","sixty","house","grunge","rap","hiphop"
"s067",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s068",0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1
"s069",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s070",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s071",0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"s072",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s073",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s074",0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
"s075",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"s076",1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"s077",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"s078",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"s079",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s080",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"s081",0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0
"s082",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s083",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"s084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s085",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"s086",0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
"s087",1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0
"s088",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"s089",1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
"s090",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s091",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s092",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"s093",1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s095",1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0
"s096",0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
"s097",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s098",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
"s099",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s100",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"s101",0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
"s102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s105",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s106",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"s107",0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
"s108",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s109",0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"s110",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s111",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s112",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s113",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"s114",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"s115",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s116",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"s117",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"s118",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s119",0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"s120",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"s121",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s122",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s123",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s125",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s126",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s127",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s128",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s129",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"s130",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s131",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s132",0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"s133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s134",0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"s135",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s136",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"s137",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"s138",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"s139",0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"s140",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s142",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s143",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"s144",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s146",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s147",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s148",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"s149",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"s150",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s151",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s152",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"s153",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s154",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s155",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"s156",0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0
"s157",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"s158",0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"s159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
