"","I listen to tapes or CDs","I look around in the shops","I read comics, mags or books","I go to sport matches","I take part in sports","I hang round in the streets","I play computer games","I spend time on my hobby (eg art, an instrument)","I go to something like B.B., Guides or Scouts","I go to cinema","I go to pop concerts, gigs","I go to church, mosque or temple","I look after a pet animal","I go to dance clubs or raves","I do nothing much (am bored)"
"s024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s026",1,2,3,4,3,4,3,4,4,4,4,4,4,4,4
"s027",1,2,2,4,3,1,4,1,4,2,4,4,1,3,4
"s028",1,2,3,4,3,1,2,4,4,3,4,4,1,3,1
"s029",1,2,3,2,4,1,3,4,4,2,3,4,4,2,4
"s030",1,2,4,4,4,1,4,4,4,3,4,4,1,2,4
"s031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s032",1,2,4,4,3,4,2,1,4,4,3,4,4,4,4
"s033",1,2,1,4,4,1,1,4,4,4,4,4,4,3,4
"s034",1,2,1,4,1,1,4,4,4,3,4,4,4,4,1
"s035",1,2,3,3,1,2,2,1,1,4,4,4,4,4,4
"s036",1,2,2,3,1,1,4,4,4,4,4,4,4,2,1
"s037",2,2,3,3,1,2,2,1,2,3,4,4,1,4,4
"s038",1,3,3,3,1,4,1,4,1,3,4,4,1,4,4
"s039",1,2,1,4,4,3,1,1,4,3,4,4,1,4,4
"s040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s041",1,2,2,4,3,1,4,4,4,3,4,4,4,3,4
"s042",1,2,4,2,3,1,4,4,4,3,4,4,4,4,2
"s043",1,2,3,4,4,1,4,4,4,3,4,4,1,3,4
"s044",1,2,2,2,1,1,2,1,4,3,4,4,2,2,2
"s045",1,3,1,3,1,1,4,2,4,4,4,4,4,2,4
"s046",1,2,1,4,2,1,4,2,4,4,4,4,4,1,4
"s047",4,2,3,3,1,1,2,2,2,2,2,2,2,2,3
"s048",1,1,2,2,1,1,1,2,4,3,3,4,1,4,1
"s049",1,2,2,2,1,2,4,2,4,3,3,4,4,3,4
"s050",1,2,1,3,1,2,1,1,4,3,3,4,1,3,4
"s051",1,3,1,2,1,1,2,4,2,3,4,4,4,4,4
"s052",1,2,2,4,1,1,4,4,4,4,4,4,4,4,1
"s053",1,3,1,4,1,4,3,1,4,3,4,4,4,NA,4
"s054",1,2,1,2,1,NA,1,4,4,3,3,4,4,3,4
"s055",1,1,1,4,2,4,2,1,4,3,4,4,1,3,4
"s056",1,2,1,4,1,4,4,1,4,3,4,4,4,4,4
"s057",1,2,2,2,3,4,1,1,4,3,3,4,4,4,1
"s058",1,2,3,4,1,1,1,4,4,3,4,4,1,3,2
"s059",1,4,2,4,1,4,4,4,4,3,4,4,4,2,4
"s060",1,2,2,2,1,2,3,2,4,3,3,4,3,3,2
"s061",1,2,1,2,1,4,1,4,4,3,4,4,1,4,4
"s062",1,4,4,3,1,1,4,4,4,3,4,4,1,4,4
"s063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s064",1,2,4,4,4,1,3,4,4,4,4,4,4,1,4
"s065",1,2,3,4,4,2,4,4,4,4,4,4,4,4,1
"s066",1,2,1,3,2,1,1,3,4,3,4,4,3,3,4
"s067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s068",1,3,1,3,1,2,1,1,4,3,4,4,1,4,2
"s069",1,1,4,2,1,4,1,1,4,4,4,4,1,4,4
"s070",1,2,1,4,4,2,4,2,4,3,4,4,1,4,2
"s071",1,2,3,2,1,1,4,1,4,3,4,4,4,3,4
"s072",1,2,2,1,2,2,2,2,4,2,4,4,4,4,4
"s073",1,2,4,4,4,1,2,2,4,3,3,4,1,4,4
"s074",1,2,2,4,4,1,3,1,4,2,3,4,4,2,4
"s075",1,2,3,2,1,1,1,2,2,3,4,4,4,4,2
"s076",1,2,4,2,1,3,1,1,4,4,3,4,4,4,3
"s077",1,3,2,4,1,1,2,2,4,3,4,4,4,3,1
"s078",1,2,2,2,2,4,2,2,4,4,3,4,1,3,4
"s079",1,3,2,2,1,2,1,1,4,2,3,4,1,2,4
"s080",1,2,2,3,1,2,1,2,4,3,4,4,1,2,4
"s081",1,2,3,2,1,1,4,2,4,3,3,4,4,2,4
"s082",1,2,3,2,1,1,4,4,4,2,3,4,1,2,1
"s083",1,2,1,4,1,4,2,3,1,4,4,2,4,4,4
"s084",4,3,4,1,1,1,1,1,1,1,NA,4,1,1,2
"s085",1,4,1,4,2,4,1,1,1,3,3,4,1,4,4
"s086",1,2,1,3,1,1,3,4,4,4,4,4,4,4,2
"s087",1,2,2,4,1,1,4,4,4,3,4,4,2,4,1
"s088",1,2,3,3,1,2,2,1,4,2,3,4,1,3,4
"s089",1,1,1,2,2,1,1,1,4,2,3,4,1,3,4
"s090",1,3,2,2,2,3,2,2,4,3,4,4,4,4,2
"s091",1,2,2,4,1,2,1,1,4,2,4,4,4,4,4
"s092",3,2,3,1,1,1,2,1,1,3,4,4,1,4,4
"s093",1,2,1,4,2,2,2,2,4,3,3,4,1,3,4
"s094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s095",1,2,2,4,4,4,4,1,2,3,4,2,4,4,4
"s096",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s097",1,2,1,4,3,4,2,4,4,2,4,4,4,4,2
"s098",1,2,1,2,1,4,2,4,4,3,4,4,4,2,4
"s099",1,2,3,2,4,3,3,4,4,3,4,4,4,3,4
"s100",1,3,2,4,2,3,2,3,4,4,4,4,4,4,3
"s101",1,3,2,2,1,1,1,1,1,4,3,4,4,4,4
"s102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s105",1,2,1,4,2,2,3,1,4,3,4,4,4,4,2
"s106",1,2,3,3,4,3,3,1,4,3,2,4,4,4,2
"s107",1,2,1,4,4,1,4,4,4,3,4,4,4,4,1
"s108",1,1,2,3,1,2,1,3,2,3,4,2,4,4,3
"s109",1,1,2,2,1,1,1,4,4,3,3,4,1,1,4
"s110",1,4,4,3,3,4,3,4,4,4,4,4,1,4,4
"s111",1,2,2,1,1,1,1,1,4,1,4,4,1,2,4
"s112",1,2,1,3,1,2,3,4,4,3,4,4,4,3,4
"s113",1,3,2,2,2,2,4,1,4,3,3,4,4,4,4
"s114",1,2,3,4,4,4,4,3,4,3,3,4,4,2,4
"s115",1,2,1,3,1,1,3,4,4,3,3,4,1,2,3
"s116",2,2,2,4,1,4,1,4,2,4,4,2,1,4,4
"s117",1,2,3,3,1,2,2,3,4,3,4,4,2,4,4
"s118",1,2,1,4,2,2,1,3,4,3,4,4,1,4,1
"s119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s120",1,2,4,3,1,1,4,1,4,3,4,4,1,4,4
"s121",1,2,1,2,2,4,4,2,4,3,4,2,1,3,4
"s122",4,4,4,3,1,1,1,4,4,4,4,4,4,4,1
"s123",1,2,2,4,2,4,4,3,4,3,4,4,1,4,4
"s124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s125",1,3,4,4,4,1,1,4,4,2,3,4,4,3,4
"s126",1,2,1,4,2,1,4,4,4,3,3,4,1,3,4
"s127",1,2,1,4,1,2,4,1,4,3,4,4,1,3,4
"s128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s130",1,3,1,4,1,1,2,4,4,3,4,4,4,4,4
"s131",1,2,2,3,2,1,4,4,4,3,3,4,4,2,4
"s132",1,1,1,4,4,1,2,4,4,3,4,4,4,3,4
"s133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s134",1,2,1,2,1,3,3,2,4,3,4,2,4,4,4
"s135",2,2,2,4,4,1,4,4,4,3,4,4,4,3,4
"s136",1,3,3,2,1,1,3,2,4,4,4,4,1,3,2
"s137",1,3,3,3,1,3,2,3,4,3,4,4,1,4,4
"s138",1,2,1,2,1,4,1,4,2,2,3,4,1,4,4
"s139",1,2,2,4,2,3,4,2,4,3,4,2,1,4,3
"s140",1,2,3,1,1,4,2,1,4,3,4,4,1,4,4
"s141",1,1,1,2,1,1,4,4,4,3,4,4,1,4,4
"s142",1,2,1,1,1,2,1,4,4,4,3,4,4,4,4
"s143",1,2,2,4,2,1,4,4,2,3,4,4,4,4,4
"s144",1,1,4,4,1,1,1,4,2,3,4,4,4,2,1
"s145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s146",1,2,4,2,1,1,1,4,4,3,4,4,4,2,4
"s147",1,2,3,4,1,4,4,2,2,3,4,2,1,4,1
"s148",1,2,1,2,2,1,1,2,4,4,4,4,1,4,4
"s149",1,3,2,2,1,4,2,4,1,3,4,2,4,4,4
"s150",3,3,3,2,1,1,1,1,4,4,4,4,1,4,4
"s151",2,2,4,2,1,1,1,2,4,4,4,4,4,4,4
"s152",1,2,1,3,4,2,3,4,4,3,4,4,4,4,1
"s153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s154",1,2,2,4,4,1,2,4,4,3,4,4,1,2,4
"s155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s157",2,4,4,4,4,3,4,4,4,3,4,4,2,2,2
"s158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s159",1,1,2,4,4,1,4,4,4,1,1,4,4,1,4
"s160",1,2,1,1,1,1,2,2,4,3,4,4,4,2,4
